,seed_term,related_terms,source,decade
494,Atoomstroom,,parool,1980
495,Atoom-stroom,,parool,1980
496,Atoomenergie,,parool,1980
497,Uranium,,parool,1980
498,nucleair,atoomwapens,parool,1980
499,nucleair,conventioneel,parool,1980
500,nucleair,wapensystemen,parool,1980
501,nucleair,nucleaire,parool,1980
502,nucleair,kernwapen,parool,1980
503,nucleair,aanvalswapens,parool,1980
504,nucleair,vernietigingskracht,parool,1980
505,nucleair,afschrikking,parool,1980
506,nucleair,conventionele,parool,1980
507,nucleair,arsenalen,parool,1980
508,kerncentrale,opwerkingsfabriek,parool,1980
509,kerncentrale,reactor,parool,1980
510,kerncentrale,kerncentrales,parool,1980
511,kerncentrale,kernreactor,parool,1980
512,kerncentrale,splijtstofstaven,parool,1980
513,kerncentrale,elektriciteitscentrale,parool,1980
514,kerncentrale,splijtstof,parool,1980
515,kerncentrale,kernafval,parool,1980
516,kerncentrale,blokkade,parool,1980
517,kerncentrale,reactoren,parool,1980
518,Kernsplitsing,,parool,1980
519,Kernsplijting,,parool,1980
520,kernfusie,recombinant,parool,1980
521,kernfusie,moleculaire,parool,1980
522,kernfusie,opwekking,parool,1980
523,kernfusie,erfelijkheid,parool,1980
524,kernfusie,broeikaseffect,parool,1980
525,kernfusie,ozonlaag,parool,1980
526,kernfusie,vaccins,parool,1980
527,kernfusie,windenergie,parool,1980
528,kernfusie,gentherapie,parool,1980
529,kernfusie,waterstof,parool,1980
530,Kernenergetisch,,parool,1980
531,Kernenergie,,parool,1980
532,Kernenergiecentrale,,parool,1980
533,Kernbrandstof,,parool,1980
534,Kern-energie-produktie,,parool,1980
535,Windkracht,,parool,1980
536,Windenergie,,parool,1980
537,Windenergiebranche,,parool,1980
538,windturbine,vuilverbrandingsinstallatie,parool,1980
539,windturbine,windturbines,parool,1980
540,windturbine,waterwinning,parool,1980
541,windturbine,energieonderzoek,parool,1980
542,windturbine,vaarwegen,parool,1980
543,windturbine,turbine,parool,1980
544,windturbine,gifwolk,parool,1980
545,windturbine,windmolen,parool,1980
546,windturbine,energiecentrum,parool,1980
547,windturbine,spijkerbanden,parool,1980
548,windstroom,,parool,1980
549,Zonne-energie,,parool,1980
550,Zonnewarmte,,parool,1980
551,zonnestraling,turfmolm,parool,1980
552,zonnestraling,deuterium,parool,1980
553,zonnestraling,zonnewarmte,parool,1980
554,zonnestraling,opperhuid,parool,1980
555,zonnestraling,absorbeert,parool,1980
556,zonnestraling,waterstofgas,parool,1980
557,zonnestraling,salpeterzuur,parool,1980
558,zonnestraling,liguster,parool,1980
559,zonnestraling,instelbare,parool,1980
560,zonnestraling,griezeliger,parool,1980
561,geothermische energie (aardwarmte),,parool,1980
562,waterkracht,opwekking,parool,1980
563,waterkracht,biogas,parool,1980
564,waterkracht,brandstoffen,parool,1980
565,waterkracht,energiebron,parool,1980
566,waterkracht,dieselmotoren,parool,1980
567,waterkracht,zwavel,parool,1980
568,waterkracht,aardwarmte,parool,1980
569,waterkracht,zonnewarmte,parool,1980
570,waterkracht,veevoer,parool,1980
571,waterkracht,elektriciteitscentrales,parool,1980
572,Waterkrachtcentrale,,parool,1980
573,Waterkrachtwerken,,parool,1980
574,Waterstof,,parool,1980
575,Waterstofenergie,,parool,1980
576,hydroturbine,,parool,1980
577,Getijden-energie,,parool,1980
578,Ethanol-produktie,,parool,1980
579,Ethanol,,parool,1980
580,Esso,,parool,1980
581,Shell,,parool,1980
582,UNIPEDE,,parool,1980
583,Internationale Unie elektriciteitsproducenten,,parool,1980
584,De Stichting Natuur en Milieu,,parool,1980
585,IEA,,parool,1980
586,Internationale Energie Agentschap,,parool,1980
587,IAEA,,parool,1980
588,Internationale Atoomenergie Agentschap,,parool,1980
589,milieuproblemen,protectionisme,parool,1980
590,milieuproblemen,milieuvervuiling,parool,1980
591,milieuproblemen,broeikaseffect,parool,1980
592,milieuproblemen,milieuverontreiniging,parool,1980
593,milieuproblemen,structurele,parool,1980
594,milieuproblemen,stagnatie,parool,1980
595,milieuproblemen,milieubeleid,parool,1980
596,milieuproblemen,intensivering,parool,1980
597,milieuproblemen,wereldeconomie,parool,1980
598,milieuproblemen,verzuring,parool,1980
599,Milieunormen,,parool,1980
600,Milieubeweging,,parool,1980
601,Milieu-aspecten,,parool,1980
602,milieueffecten,,parool,1980
603,Milieumaatregelen,,parool,1980
604,Milieuvriendelijk,,parool,1980
605,Milieubeleid,,parool,1980
606,milieuoogpunt,,parool,1980
607,koolzuur,druppeltje,parool,1980
608,koolzuur,zuurstofgehalte,parool,1980
609,koolzuur,zandkorrels,parool,1980
610,koolzuur,composthoop,parool,1980
611,koolzuur,gesmolten,parool,1980
612,koolzuur,zonnewarmte,parool,1980
613,koolzuur,waterstof,parool,1980
614,koolzuur,medicinale,parool,1980
615,koolzuur,zuring,parool,1980
616,koolzuur,gereinigde,parool,1980
617,koolzuurgas,styreen,parool,1980
618,koolzuurgas,gereinigde,parool,1980
619,koolzuurgas,deuterium,parool,1980
620,koolzuurgas,opperhuid,parool,1980
621,koolzuurgas,uitzaaiingen,parool,1980
622,koolzuurgas,ontkalking,parool,1980
623,koolzuurgas,zuurstofgehalte,parool,1980
624,koolzuurgas,bassins,parool,1980
625,koolzuurgas,turfmolm,parool,1980
626,koolzuurgas,botweefsel,parool,1980
627,stikstofdioxide,styreen,parool,1980
628,stikstofdioxide,brandstofcel,parool,1980
629,stikstofdioxide,waterstofgas,parool,1980
630,stikstofdioxide,deklaag,parool,1980
631,stikstofdioxide,zuurstofgehalte,parool,1980
632,stikstofdioxide,trens,parool,1980
633,stikstofdioxide,voormiddag,parool,1980
634,stikstofdioxide,deuterium,parool,1980
635,stikstofdioxide,reddingsvesten,parool,1980
636,stikstofdioxide,goudkarper,parool,1980
637,zwaveldioxide,ammoniak,parool,1980
638,zwaveldioxide,stikstof,parool,1980
639,zwaveldioxide,stikstofoxiden,parool,1980
640,zwaveldioxide,koolwaterstoffen,parool,1980
641,zwaveldioxide,zwavel,parool,1980
642,zwaveldioxide,nitraat,parool,1980
643,zwaveldioxide,uitstoot,parool,1980
644,zwaveldioxide,kooldioxide,parool,1980
645,zwaveldioxide,luchtvervuiling,parool,1980
646,zwaveldioxide,fosfaat,parool,1980
647,isolatie,bewoning,parool,1980
648,isolatie,hoogbouw,parool,1980
649,isolatie,leegkomende,parool,1980
650,isolatie,woningbestand,parool,1980
651,isolatie,woningverbetering,parool,1980
652,isolatie,leegstand,parool,1980
653,isolatie,verzakken,parool,1980
654,isolatie,huurharmonisatie,parool,1980
655,isolatie,huurwoningen,parool,1980
656,isolatie,huurverlaging,parool,1980
657,Rookgassen,,parool,1980
658,verzuring,vervuiling,parool,1980
659,verzuring,luchtverontreiniging,parool,1980
660,verzuring,broeikaseffect,parool,1980
661,verzuring,luchtvervuiling,parool,1980
662,verzuring,uitstoot,parool,1980
663,verzuring,ammoniak,parool,1980
664,verzuring,oppervlaktewater,parool,1980
665,verzuring,grondwater,parool,1980
666,verzuring,verontreiniging,parool,1980
667,verzuring,vervuilt,parool,1980
668,Zuinig,,parool,1980
669,vervuilde,verontreinigde,parool,1980
670,vervuilde,verontreinigd,parool,1980
671,vervuilde,vervuild,parool,1980
672,vervuilde,grondwater,parool,1980
673,vervuilde,slib,parool,1980
674,vervuilde,afgegraven,parool,1980
675,vervuilde,oppervlaktewater,parool,1980
676,vervuilde,verontreiniging,parool,1980
677,vervuilde,afgraven,parool,1980
678,vervuilde,bagger,parool,1980
679,niet-vervuilde,,parool,1980
680,luchtvervuiling,luchtverontreiniging,parool,1980
681,luchtvervuiling,uitstoot,parool,1980
682,luchtvervuiling,vervuiling,parool,1980
683,luchtvervuiling,verzuring,parool,1980
684,luchtvervuiling,zwaveldioxide,parool,1980
685,luchtvervuiling,ammoniak,parool,1980
686,luchtvervuiling,uitlaatgassen,parool,1980
687,luchtvervuiling,elektriciteitscentrales,parool,1980
688,luchtvervuiling,verontreiniging,parool,1980
689,luchtvervuiling,drinkwater,parool,1980
690,luchtverontreiniging,luchtvervuiling,parool,1980
691,luchtverontreiniging,vervuiling,parool,1980
692,luchtverontreiniging,verzuring,parool,1980
693,luchtverontreiniging,verontreiniging,parool,1980
694,luchtverontreiniging,oppervlaktewater,parool,1980
695,luchtverontreiniging,uitstoot,parool,1980
696,luchtverontreiniging,grondwater,parool,1980
697,luchtverontreiniging,broeikaseffect,parool,1980
